title,author,date,abstract,column,url
"The ""ideal"" Duke experience",Valerie Tan ,2022-10-13,"I was ashamed of not making full use of the plethora of resources available, and worried that my decision to sit out on many “core” experiences was diminishing the value and authenticity of my college experience—that it made me less of a Duke student.",STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2022/10/10122022-tan-ideal-duke-experience
Embracing the Mississippian parts of ourselves,Advikaa Anand ,2022-10-13,"""Well, you don't seem like you're from Mississippi.""",STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2022/10/101322-anand-embracing-the-mississippi-part-of-ourselves
It’s time to umask the bus mask mandate,Sean Keating ,2022-10-13,"Perhaps it is time to stop caring about optics, and start allowing your poor students to sip their Diet Dr. Peppers.",GUEST COLUMNS,https://www.dukechronicle.com/article/2022/10/101322-keating-bus-mask-mandate
Response to Duke Climate Commitment,Elizabeth Albright ,2022-10-12,"Duke University will be judged by current and future generations in the ways we decide to implement concrete, measurable, and forward thinking goals to ensure that our actions are as bold as our words.",GUEST COLUMNS,https://www.dukechronicle.com/article/2022/10/101222-albright-climate-commitment-response
Sexual assault: the harmful dichotomy between prevention and intervention,Billy Cao ,2022-10-06,"It saddens me to see that, although new administrators have come to Duke with new sets of promises, they have reverted to the same words, defenses, and strategies against recurrent student grievances.",STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2022/10/100722-cao-prevention-and-intervention-of-sexual-assault
PSA Statement on Iran,Persian Students Association ,2022-10-06,"Iranian women are not victims, they will emerge victors over a repressive regime.",STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2022/10/100722-psa
How to Draw a Line,Ayesham Khan ,2022-10-06,I mean in the more emotional sense: how to draw. Like how to think. How to clear a mind. How to excavate it for memory.,STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2022/10/100622-khan-draw-line
I can’t menstruate. Here’s how the overturning of Roe v. Wade affects me.,Viktoria Wulff-Andersen ,2022-10-06,"No one at Duke should be made to feel less like a woman because of their menstrual capabilities—not me, not a roommate, not a teacher, not a peer.",STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2022/10/100622-wulff-andersen-menstruation
Unwritten rules for catching up with friends,Nathan Luzum ,2022-10-05,"If the glint of the sun catches your dining partner’s eyes just right, it might just illuminate their intrinsic hopefulness and goodwill, revealing them as a bastion of radiance in a world of iniquity.",STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2022/10/100522-luzum-unwritten-rules
What's a criminal?,Sonia Green ,2022-10-05,The Duke community must make sure that the burden of reassuring others doesn’t fall on Black Duke.,STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2022/10/100522-green-whats-a-criminal
On old friends,Laura Boyle ,2022-10-05,"But, at college, we come to know that the value of a friend is found not in their proximity, but rather, in what happens in the gaps between.",STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2022/10/100522-boyle-on-old-friends
Abolish fall break,Heidi Smith ,2022-10-04,"Inherently, fall break isn't a horrible idea, but in practice it falls rather short.",STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2022/10/10032022-smith-abolish-fall-break
Linguistics student accidentally rediscovers eldritch language,Monday Monday ,2022-10-03,"I peeked into rooms that seemed, at least at a glance, impossible: a study space so large I couldn’t see the other end, a classroom with all the desks on the ceiling, and an affordable campus dining option.",STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2022/10/180922-mondaymonday-eldritch-language
A statement from GPSG’s Director of Environment and Sustainability regarding Duke’s Climate Commitment,Michelle Carter ,2022-10-03,I call for the administrators at Duke University to actively release their plans and updates for the implementation of climate and environmental concepts.,LETTERS TO THE EDITOR,https://www.dukechronicle.com/article/2022/10/100322-carter-gpsg-duke-climate-commitment
