age_group,coaster,park,city,state,type,design,year_opened,top_speed,max_height,drop,length,duration,inversions,num_of_inversions
1:older,Zippin Pippin,Libertyland,Memphis,Tennessee,Wooden,Sit Down,1915,40,70,70,2865,90,N,0
1:older,Jack Rabbit,Kennywood Park,West Mifflin,Pennsylvania,Wooden,Sit Down,1921,45,40,70,2132,96,N,0
1:older,Thunderhawk,Dorney Park,Allentown,Pennsylvania,Wooden,Sit Down,1923,45,80,65,2767,78,N,0
1:older,Giant Dipper,Santa Cruz Beach Boardwalk,Santa Cruz,California,Wooden,Sit Down,1924,55,70,65,2640,112,N,0
1:older,Thunderbolt,Kennywood Park,West Mifflin,Pennsylvania,Wooden,Sit Down,1924,55,70,95,2887,101,N,0
1:older,Wildcat,Lake Compounce,Bristol,Connecticut,Wooden,Sit Down,1927,48,85,78,2746,75,N,0
1:older,Coaster Thrill Ride,Puyallup Fair,Puyallup,Washington,Wooden,Sit Down,1935,50,55,52,2650,105,N,0
1:older,Cyclone,Lakeside,Denver,Colorado,Wooden,Sit Down,1940,NA,90,89,2800,120,N,0
1:older,Comet,Hersheypark,Hershey,Pennsylvania,Wooden,Sit Down,1946,50,84,78,3360,105,N,0
1:older,Comet,Waldameer Park,Erie,Pennsylvania,Wooden,Sit Down,1951,25,37,25,1300,84,N,0
1:older,High Speed Thrill Coaster,Knoebels,Elysburg,Pennsylvania,Steel,Sit Down,1955,40,18,12,200,NA,N,0
1:older,Bobsleds,Seabreeze,Rochester,New York,Steel,Sit Down,1962,23,31,16,1240,NA,N,0
1:older,Starliner,Miracle Strip Amusement Park,Panama City Beach,Florida,Wooden,Sit Down,1963,55,70,76,2640,NA,N,0
1:older,Swamp Fox,Family Kingdom Amusement Park,Myrtle Beach,South Carolina,Wooden,Sit Down,1963,50,75,65,2400,NA,N,0
1:older,Blue Streak,Cedar Point,Sandusky,Ohio,Wooden,Sit Down,1964,40,78,72,2558,105,N,0
1:older,Cannon Ball,Lake Winnepesaukah,Rossville,Georgia,Wooden,Sit Down,1967,50,70,70,2272,NA,N,0
1:older,River King Mine Train,Six Flags St. Louis,Eureka,Missouri,Steel,Sit Down,1971,37,32,41,2500,180,N,0
1:older,Big Bend,Six Flags Over Texas,Arlington,Texas,Steel,Sit Down,1971,52,81,NA,2876,98,N,0
1:older,Great American Scream Machine,Six Flags Over Georgia,Austell,Georgia,Wooden,Sit Down,1973,57,105,89,3450,120,N,0
1:older,Demon,Six Flags Great America,Gurnee,Illinois,Steel,Sit Down,1976,50,102,90,2130,105,Y,4
1:older,Demon,Paramounts Great America,Santa Clara,California,Steel,Sit Down,1976,50,102,90,2130,105,Y,4
1:older,Screamin Eagle,Six Flags St. Louis,Eureka,Missouri,Wooden,Sit Down,1976,62,110,92,3872,150,N,0
1:older,Texas Cyclone,Six Flags AstroWorld,Houston,Texas,Wooden,Sit Down,1976,NA,93,80,3180,135,N,0
1:older,Whizzer,Six Flags Great America,Gurnee,Illinois,Steel,Sit Down,1976,42,70,64,3100,120,N,0
1:older,Colossus,Six Flags Magic Mountain,Valencia,California,Wooden,Sit Down,1978,62,125,115,4325,150,N,0
1:older,Gemini,Cedar Point,Sandusky,Ohio,Steel,Sit Down,1978,60,125,118,3935,140,N,0
1:older,Loch Ness Monster,Busch Gardens Williamsburg,Williamsburg,Virginia,Steel,Sit Down,1978,60,130,114,3240,130,Y,2
1:older,Montezooma's Revenge,Knotts Berry Farm,Buena Park,California,Steel,Sit Down,1978,55,148,137,800,36,Y,1
1:older,Beast,Paramounts Kings Island,Kings Mills,Ohio,Wooden,Sit Down,1979,65,110,141,7359,250,N,0
1:older,Revolution,Libertyland,Memphis,Tennessee,Steel,Sit Down,1979,55,70,65,1565,80,Y,3
1:older,Silver Bullet,Frontier City,Oklahoma City,Oklahoma,Steel,Sit Down,1979,55,83,75,1942,NA,Y,1
2:recent,Judge Roy Scream,Six Flags Over Texas,Arlington,Texas,Wooden,Sit Down,1980,53,71,65,2670,90,N,0
2:recent,American Eagle,Six Flags Great America,Gurnee,Illinois,Wooden,Sit Down,1981,66,127,147,4650,143,N,0
2:recent,Viper,Six Flags Darien Lake,Darien Center,New York,Steel,Sit Down,1982,50,121,75,3100,124,Y,5
2:recent,Big Bad Wolf,Busch Gardens Williamsburg,Williamsburg,Virginia,Steel,Suspended,1984,48,100,80,2800,180,N,0
2:recent,Phoenix,Knoebels,Elysburg,Pennsylvania,Wooden,Sit Down,1985,45,78,72,3200,120,N,0
2:recent,Wild One,Six Flags America,Upper Marlboro,Maryland,Wooden,Sit Down,1986,53,98,88,4000,112,N,0
2:recent,Skyliner,Lakemont Park,Altoona,Pennsylvania,Wooden,Sit Down,1987,NA,60,45,2400,NA,N,0
2:recent,Vortex,Paramounts Kings Island,Kings Mills,Ohio,Steel,Sit Down,1987,55,148,138,3800,150,Y,6
2:recent,Excalibur,Valleyfair!,Shakopee,Minnesota,Steel,Sit Down,1989,55,100,105,2415,137,N,0
2:recent,Great American Scream Machine,Six Flags Great Adventure,Jackson,New Jersey,Steel,Sit Down,1989,68,173,155,3800,140,Y,7
2:recent,Magnum XL-200,Cedar Point,Sandusky,Ohio,Steel,Sit Down,1989,72,205,195,5106,120,N,0
2:recent,Timber Wolf,Worlds of Fun,Kansas City,Missouri,Wooden,Sit Down,1989,53,100,95,4230,133,N,0
2:recent,Corkscrew,Silverwood Theme Park,Athol,Idaho,Steel,Sit Down,1990,46,70,62,1250,NA,Y,2
2:recent,Georgia Cyclone,Six Flags Over Georgia,Austell,Georgia,Wooden,Sit Down,1990,50,95,79,2970,108,N,0
2:recent,Iron Wolf,Six Flags Great America,Gurnee,Illinois,Steel,Stand Up,1990,55,100,90,2900,120,Y,2
2:recent,Texas Giant,Six Flags Over Texas,Arlington,Texas,Wooden,Sit Down,1990,65,143,137,4920,120,N,0
2:recent,Ultra Twister,Six Flags AstroWorld,Houston,Texas,Steel,Pipeline,1990,44,97,92,1421,100,Y,3
2:recent,Viper,Six Flags Magic Mountain,Valencia,California,Steel,Sit Down,1990,70,188,171,3830,150,Y,7
2:recent,Afterburner,Fun Spot,Angola,Indiana,Steel,Sit Down,1991,45,56,47,635,66,Y,1
2:recent,Anaconda,Paramounts Kings Dominion,Doswell,Virginia,Steel,Sit Down,1991,50,128,144,2700,110,Y,4
2:recent,Dragon,Adventureland,Altoona,Iowa,Steel,Sit Down,1991,NA,90,85,2250,90,Y,2
2:recent,Mean Streak,Cedar Point,Sandusky,Ohio,Wooden,Sit Down,1991,65,161,155,5427,193,N,0
2:recent,Wildcat,Frontier City,Oklahoma City,Oklahoma,Wooden,Sit Down,1991,60,75,65,2653,130,N,0
2:recent,Rattler,Six Flags Fiesta Texas,San Antonio,Texas,Wooden,Sit Down,1992,65,180,124,5080,NA,N,0
2:recent,Batman The Escape,Six Flags AstroWorld,Houston,Texas,Steel,Stand Up,1993,55,90,85,2300,NA,Y,1
2:recent,Canyon Blaster,Adventuredome,Las Vegas,Nevada,Steel,Sit Down,1993,41,94,66,2423,90,Y,4
2:recent,Diamond Back,Frontier City,Oklahoma City,Oklahoma,Steel,Sit Down,1993,45,56,47,635,66,Y,1
2:recent,Kumba,Busch Gardens Tampa,Tampa,Florida,Steel,Sit Down,1993,60,143,135,3978,174,Y,7
2:recent,Top Gun,Paramounts Great America,Santa Clara,California,Steel,Inverted,1993,50,102,91,2260,146,Y,3
2:recent,Whirlwind,Knoebels,Elysburg,Pennsylvania,Steel,Sit Down,1993,NA,64,48,1200,NA,Y,2
2:recent,Comet,Great Escape,Lake George,New York,Wooden,Sit Down,1994,55,95,87,4197,120,N,0
2:recent,Desperado,Buffalo Bills Resort & Casino,Primm,Nevada,Steel,Sit Down,1994,80,209,225,5843,163,N,0
2:recent,Raptor,Cedar Point,Sandusky,Ohio,Steel,Inverted,1994,57,137,119,3790,136,Y,6
2:recent,Cyclops,Big Chief Carts And Coasters,Wisconsin Dells,Wisconsin,Wooden,Sit Down,1995,58,70,75,1900,60,N,0
2:recent,Great NorEaster,Moreys Piers,Wildwood,New Jersey,Steel,Inverted,1995,55,115,95,2170,125,Y,5
2:recent,Jaguar!,Knotts Berry Farm,Buena Park,California,Steel,Sit Down,1995,35,65,45,2602,120,N,0
2:recent,Raven,Holiday World,Santa Claus,Indiana,Wooden,Sit Down,1995,48,80,110,2731,90,N,0
2:recent,Screamer,Scandia Amusement Park,Ontario,California,Steel,Sit Down,1995,50,90,80,2600,116,N,0
2:recent,Sidewinder,Six Flags Elitch Gardens,Denver,Colorado,Steel,Sit Down,1995,45,56,47,635,66,Y,1
2:recent,Viper,Six Flags Great America,Gurnee,Illinois,Wooden,Sit Down,1995,50,100,80,3458,105,N,0
2:recent,Great White,Moreys Piers,Wildwood,New Jersey,Wooden,Sit Down,1996,50,110,100,3300,120,N,0
2:recent,Mantis,Cedar Point,Sandusky,Ohio,Steel,Stand Up,1996,60,145,137,3900,160,Y,4
2:recent,Montu,Busch Gardens Tampa,Tampa,Florida,Steel,Inverted,1996,60,150,128,3983,180,Y,7
2:recent,Pegasus,Big Chief Carts And Coasters,Wisconsin Dells,Wisconsin,Wooden,Sit Down,1996,NA,60,45,NA,NA,N,0
2:recent,Wild Thing,Valleyfair!,Shakopee,Minnesota,Steel,Sit Down,1996,74,207,196,5460,180,N,0
2:recent,Wildcat,Hersheypark,Hershey,Pennsylvania,Wooden,Sit Down,1996,50,90,85,3183,NA,N,0
2:recent,Alpengeist,Busch Gardens Williamsburg,Williamsburg,Virginia,Steel,Inverted,1997,67,195,170,3828,190,NA,NA
2:recent,Chang,Six Flags Kentucky Kingdom,Louisville,Kentucky,Steel,Stand Up,1997,63,154,144,4155,150,Y,5
2:recent,Cyclone,Williams Grove Park,Mechanicsburg,Pennsylvania,Wooden,Sit Down,1997,NA,65,60,2300,NA,N,0
2:recent,Great White,SeaWorld Of Texas,San Antonio,Texas,Steel,Inverted,1997,50,108,81,2562,120,Y,5
2:recent,Manhattan Express,"New York, New York Hotel & Casino",Las Vegas,Nevada,Steel,Sit Down,1997,67,203,144,4777,160,Y,2
2:recent,Steel Force,Dorney Park,Allentown,Pennsylvania,Steel,Sit Down,1997,75,200,205,5600,180,N,0
2:recent,Superman The Escape,Six Flags Magic Mountain,Valencia,California,Steel,Sit Down,1997,100,415,328,1235,28,N,0
2:recent,Wild Thing,Wild Waves and Enchanted Village,Federal Way,Washington,Steel,Sit Down,1997,NA,NA,64,NA,60,Y,3
2:recent,Zeus,Big Chief Carts And Coasters,Wisconsin Dells,Wisconsin,Wooden,Sit Down,1997,60,90,85,2900,85,N,0
2:recent,Batman And Robin; The Chiller,Six Flags Great Adventure,Jackson,New Jersey,Steel,Sit Down,1998,70,200,139,1137,32,Y,2
2:recent,Batman And Robin; The Chiller,Six Flags Great Adventure,Jackson,New Jersey,Steel,Sit Down,1998,70,200,105,1229,48,Y,3
2:recent,Excalibur,Funtown Splashtown U.S.A.,Saco,Maine,Wooden,Sit Down,1998,55,100,82,2700,118,N,0
2:recent,GhostRider,Knotts Berry Farm,Buena Park,California,Wooden,Sit Down,1998,56,118,108,4533,160,N,0
2:recent,Great Bear,Hersheypark,Hershey,Pennsylvania,Steel,Inverted,1998,58,90,124,2800,175,Y,4
2:recent,Invertigo,Paramounts Great America,Santa Clara,California,Steel,Inverted,1998,50,161,138,1014,90,Y,3
2:recent,Mamba,Worlds of Fun,Kansas City,Missouri,Steel,Sit Down,1998,75,205,205,5600,180,N,0
2:recent,Riddlers Revenge,Six Flags Magic Mountain,Valencia,California,Steel,Stand Up,1998,65,156,146,4370,180,Y,6
2:recent,Vapor Trail,Sesame Place,Langhorne,Pennsylvania,Steel,Sit Down,1998,27,43,56,1300,180,N,0
2:recent,"Volcano, The Blast Coaster",Paramounts Kings Dominion,Doswell,Virginia,Steel,Inverted,1998,70,155,80,2757,NA,Y,4
