title,review,country_date
2.0 out of 5 stars Barely has any scent,"I'd rate this a 1-star but it looks nice when burning. Otherwise, it's entirely a branded product that doesn't deliver. There is hardly any scent at all, when unlit or burning. Complete waste of my money and I'm sorry I trusted the best seller ranking. Not going to return a halfway burned candle but lesson learned.","Reviewed in the United States 🇺🇸 on October 15, 2022"
1.0 out of 5 stars No emana ningún olor,"Esta vela no despide ningún olor, compre otras que da gusto sentir el aroma. La guardaré, pero los fabricantes deben de mejorar su producto. Yo no la volvería a comprar, disculpen.","Reviewed in the United States 🇺🇸 on October 14, 2022"
5.0 out of 5 stars Nice scent last long nice to give as a Christmas gift,Giftable,"Reviewed in the United States 🇺🇸 on October 14, 2022"
4.0 out of 5 stars Smell wasn't strong,Scent wasn't hitting,"Reviewed in the United States 🇺🇸 on October 14, 2022"
5.0 out of 5 stars Beautiful!,"I've always loved this particular candle fragrance. But whoever ships them should be told to put them in a padded box, not a padded envelope. This one came broken in pieces. Too much trouble to send it back, so I put it in a dish and will burn it down as far as it goes. But overall, Yankee Candles are wonderful.","Reviewed in the United States 🇺🇸 on October 14, 2022"
1.0 out of 5 stars Came ruined,Melted with no wick,"Reviewed in the United States 🇺🇸 on October 14, 2022"
5.0 out of 5 stars This is the only one buy,Make the house smell nice,"Reviewed in the United States 🇺🇸 on October 14, 2022"
5.0 out of 5 stars Can't go wrong with a classic!,"I love Yankee Candle and have quite a few of these around my house already, but you can never go wrong with vanilla or cupcakes! Together? It's a winning combination. I have a very sensitive sense of smell, but this is one of the best scents ever.","Reviewed in the United States 🇺🇸 on October 14, 2022"
1.0 out of 5 stars Gives off no scent,"This is the second Yankee Candle that I've bought that gives off very little scent. The candles are really hit-or-miss. I ordered a Kitchen Spice candle, and its fragrance fills the room. The Sparkling Cinnamon and the Balsam and Cedar ones that I ordered give off basically no scent at all. Yankee Candles used to be consistently good and worth the high price. Now, you're taking a chance any time you buy them.","Reviewed in the United States 🇺🇸 on October 14, 2022"
5.0 out of 5 stars Satisfied,Excellent scent and lasting a long time.,"Reviewed in the United States 🇺🇸 on October 14, 2022"
1.0 out of 5 stars Slight scent but mostly just burnt wick,"This is the bottom of the barrel holiday scented candle. Burned for hours with nothing more then a burnt wick smell. We opened it brand new and it barley had a pumpkin scent to it. Would not buy this again, waist of money. Not sure if it’s The manufacture or the seller selling bad candles but this is a no go.","Reviewed in the United States 🇺🇸 on October 14, 2022"
