major_code,major,major_category,grad_total,grad_employed,grad_employed_fulltime_yearround,grad_unemployed,grad_unemployment_rate,grad_p25th,grad_median,grad_p75th
5601,Construction Services,Industrial Arts & Consumer Services,9173,7098,6511,681,0.087543386,110000,75000,53000
6004,Commercial Art And Graphic Design,Arts,53864,40492,29553,2482,0.057755852,89000,60000,40000
6211,Hospitality Management,Business,24417,18368,14784,1465,0.073866788,100000,65000,45000
2201,Cosmetology Services And Culinary Arts,Industrial Arts & Consumer Services,5411,3590,2701,316,0.080901178,85000,47000,24500
2001,Communication Technologies,Computers & Mathematics,9109,7512,5622,466,0.058410629,83700,57000,40600
6206,Marketing And Marketing Research,Business,190996,151570,123045,8324,0.052059489,120000,80000,50000
1101,Agriculture Production And Management,Agriculture & Natural Resources,17488,13104,11207,473,0.03483833,100000,67000,41600
2101,Computer Programming And Data Processing,Computers & Mathematics,5611,4716,3981,119,0.024612203,114000,85000,56000
1904,Advertising And Public Relations,Communications & Journalism,33928,28517,22523,899,0.030561599,90000,60000,43000
6005,Film Video And Photographic Arts,Arts,24525,19059,13301,2035,0.096472931,80000,57000,40000
5701,"Electrical, Mechanical, And Precision Technologies And Production",Industrial Arts & Consumer Services,3187,1984,1481,319,0.13851498,100000,62000,40000
2504,Mechanical Engineering Related Technologies,Engineering,6065,4442,3669,310,0.06523569,103000,78000,50000
1903,Mass Media,Communications & Journalism,42915,35939,28054,1957,0.051641334,90000,57000,41000
5901,Transportation Sciences And Technologies,Industrial Arts & Consumer Services,27410,20035,18088,980,0.046633357,124000,90000,62000
2107,Computer Networking And Telecommunications,Computers & Mathematics,11165,9037,7988,803,0.081605691,110000,80000,54000
6299,Miscellaneous Business & Medical Administration,Business,22553,17691,14807,865,0.04661565,106000,75000,47000
2599,Miscellaneous Engineering Technologies,Engineering,14816,12433,11146,407,0.031697819,105000,80000,54000
2503,Industrial Production Technologies,Engineering,19885,14752,12467,603,0.039270596,111000,84500,60000
6099,Miscellaneous Fine Arts,Arts,1733,1100,770,44,0.038461538,76000,55000,40000
5301,Criminal Justice And Fire Protection,Law & Public Policy,188228,154146,133549,6591,0.041004871,100000,68000,45000
6203,Business Management And Administration,Business,813399,622357,527935,32089,0.049032311,115000,77000,50000
5503,Criminology,Social Science,18499,14584,12074,692,0.045299817,98000,65000,44000
6212,Management Information Systems And Statistics,Business,41970,36227,32121,1459,0.038714642,116000,89000,64500
2106,Computer Administration Management And Security,Computers & Mathematics,10290,8554,7581,542,0.059586631,109000,81000,54000
6204,Operations Logistics And E-Commerce,Business,15056,12659,10861,296,0.022848321,131000,94000,64000
6200,General Business,Business,602964,457191,387928,19494,0.040894931,130000,85000,52000
6105,Medical Technologies Technicians,Health,47029,37639,29892,987,0.025552736,112000,76000,55000
2100,Computer And Information Systems,Computers & Mathematics,71527,60858,53807,2539,0.040049214,104000,80000,55000
1901,Communications,Communications & Journalism,266084,212156,159049,10851,0.048657665,96000,65000,45000
6202,Actuarial Science,Business,2472,2020,1725,162,0.074243813,150000,110000,80000
2502,Electrical Engineering Technology,Engineering,28155,22501,19707,1296,0.054460646,110000,85000,60000
1902,Journalism,Communications & Journalism,119953,91778,71683,4026,0.042023298,100000,70000,46000
6104,Medical Assisting Services,Health,18654,14499,10826,377,0.025342834,108000,80000,55000
2500,Engineering Technologies,Engineering,11724,9471,7958,450,0.045358331,105000,74000,48400
6201,Accounting,Business,569677,451610,384280,19729,0.041857347,131000,88000,59000
6000,Fine Arts,Arts,181514,124246,80794,8072,0.06100455,82000,58000,40000
6107,Nursing,Health,573467,437115,335009,9498,0.021266734,110000,84000,62000
2105,Information Sciences,Computers & Mathematics,25799,22403,19028,1179,0.049995759,114000,84000,62000
2403,Architectural Engineering,Engineering,6466,4857,4264,304,0.058903313,110000,78000,56000
4000,Multi/Interdisciplinary Studies,Interdisciplinary,14405,12708,9639,261,0.020124913,74000,55000,43600
5102,"Nuclear, Industrial Radiology, And Biological Technologies",Physical Sciences,3910,3129,2565,28,0.00886918,106000,80000,55000
1100,General Agriculture,Agriculture & Natural Resources,44306,28930,23024,874,0.029324923,104000,68000,45000
1302,Forestry,Agriculture & Natural Resources,24713,16831,14102,725,0.041296423,110000,78000,52000
3401,Liberal Arts,Humanities & Liberal Arts,213970,154404,112953,6788,0.042111271,103000,70000,48000
5403,Human Services And Community Organization,Psychology & Social Work,29262,23537,18213,1504,0.060061499,70110,50100,38000
6003,Visual And Performing Arts,Arts,18324,14841,9671,593,0.038421666,80000,53000,38000
1303,Natural Resources Management,Agriculture & Natural Resources,29357,23394,19087,711,0.029495955,100000,70000,50000
6007,Studio Arts,Arts,28883,21628,14277,1147,0.050362239,70000,50750,40000
2901,Family And Consumer Sciences,Industrial Arts & Consumer Services,149084,101593,69675,3919,0.037142695,80000,58000,42000
4101,Physical Fitness Parks Recreation And Leisure,Industrial Arts & Consumer Services,119489,103790,80196,2696,0.025317882,85000,60000,44000
6207,Finance,Business,301650,252242,221486,11635,0.044092513,150000,95000,62000
2419,Petroleum Engineering,Engineering,7479,5640,4869,112,0.019471488,200000,124000,80000
1105,Plant Science And Agronomy,Agriculture & Natural Resources,30983,22782,18312,735,0.031253986,100000,67000,45000
6209,Human Resources And Personnel Management,Business,72548,55106,47878,3813,0.064715966,100000,70000,47000
6210,International Business,Business,30985,24519,20196,1424,0.054889566,104000,72000,50000
3302,Composition And Rhetoric,Humanities & Liberal Arts,21250,16723,10535,676,0.038852808,80000,58000,42000
6001,Drama And Theater Arts,Arts,66560,50690,34179,3679,0.067667237,85000,58600,44000
6205,Business Economics,Business,30210,22935,19467,1239,0.051253413,150000,94000,60000
2501,Engineering And Industrial Management,Engineering,20177,12781,11035,1336,0.094637671,150000,107000,70000
2102,Computer Science,Computers & Mathematics,324402,281088,243500,10557,0.036198118,125000,95000,69000
6103,Health And Medical Administrative Services,Health,45452,35283,29992,1933,0.051940026,108000,79000,51000
1102,Agricultural Economics,Agriculture & Natural Resources,14800,10592,8768,216,0.019985196,120000,80000,53000
1301,Environmental Science,Biology & Life Science,43612,38068,29568,1392,0.035276229,100000,68000,48000
5504,Geography,Social Science,52147,38935,30602,1251,0.031130244,105000,73000,50000
