"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CPALTT01","Consumer prices: all items","AUS","Australia","GY","Growth on the same period of the previous year","A","Annual","1993","1993","PC","Percentage","0","Units",,,1.7536534446764,,
"CPALTT01","Consumer prices: all items","AUS","Australia","GY","Growth on the same period of the previous year","A","Annual","1994","1994","PC","Percentage","0","Units",,,1.96963479688141,,
"CPALTT01","Consumer prices: all items","AUS","Australia","GY","Growth on the same period of the previous year","A","Annual","1995","1995","PC","Percentage","0","Units",,,4.62776659959759,,
"CPALTT01","Consumer prices: all items","AUS","Australia","GY","Growth on the same period of the previous year","A","Annual","1996","1996","PC","Percentage","0","Units",,,2.61538461538462,,
"CPALTT01","Consumer prices: all items","AUS","Australia","GY","Growth on the same period of the previous year","A","Annual","1997","1997","PC","Percentage","0","Units",,,0.224887556221881,,
"CPALTT01","Consumer prices: all items","AUS","Australia","GY","Growth on the same period of the previous year","A","Annual","1998","1998","PC","Percentage","0","Units",,,0.860134629768143,,
"CPALTT01","Consumer prices: all items","AUS","Australia","GY","Growth on the same period of the previous year","A","Annual","1999","1999","PC","Percentage","0","Units",,,1.48312940304042,,
"CPALTT01","Consumer prices: all items","AUS","Australia","GY","Growth on the same period of the previous year","A","Annual","2000","2000","PC","Percentage","0","Units",,,4.45743514797223,,
"CPALTT01","Consumer prices: all items","AUS","Australia","GY","Growth on the same period of the previous year","A","Annual","2001","2001","PC","Percentage","0","Units",,,4.40713536201469,,
"CPALTT01","Consumer prices: all items","AUS","Australia","GY","Growth on the same period of the previous year","A","Annual","2002","2002","PC","Percentage","0","Units",,,2.98157453936348,,
"CPALTT01","Consumer prices: all items","AUS","Australia","GY","Growth on the same period of the previous year","A","Annual","2003","2003","PC","Percentage","0","Units",,,2.73259596616785,,
"CPALTT01","Consumer prices: all items","AUS","Australia","GY","Growth on the same period of the previous year","A","Annual","2004","2004","PC","Percentage","0","Units",,,2.34325522482586,,
"CPALTT01","Consumer prices: all items","AUS","Australia","GY","Growth on the same period of the previous year","A","Annual","2005","2005","PC","Percentage","0","Units",,,2.69183168316831,,
"CPALTT01","Consumer prices: all items","AUS","Australia","GY","Growth on the same period of the previous year","A","Annual","2006","2006","PC","Percentage","0","Units",,,3.55528773727027,,
"CPALTT01","Consumer prices: all items","AUS","Australia","GY","Growth on the same period of the previous year","A","Annual","2007","2007","PC","Percentage","0","Units",,,2.32761128891474,,
"CPALTT01","Consumer prices: all items","AUS","Australia","GY","Growth on the same period of the previous year","A","Annual","2008","2008","PC","Percentage","0","Units",,,4.35029854990048,,
"CPALTT01","Consumer prices: all items","AUS","Australia","GY","Growth on the same period of the previous year","A","Annual","2009","2009","PC","Percentage","0","Units",,,1.77111716621253,,
"CPALTT01","Consumer prices: all items","AUS","Australia","GY","Growth on the same period of the previous year","A","Annual","2010","2010","PC","Percentage","0","Units",,,2.91834002677377,,
"CPALTT01","Consumer prices: all items","AUS","Australia","GY","Growth on the same period of the previous year","A","Annual","2011","2011","PC","Percentage","0","Units",,,3.3038501560874,,
"CPALTT01","Consumer prices: all items","AUS","Australia","GY","Growth on the same period of the previous year","A","Annual","2012","2012","PC","Percentage","0","Units",,,1.76278015613196,,
"CPALTT01","Consumer prices: all items","AUS","Australia","GY","Growth on the same period of the previous year","A","Annual","2013","2013","PC","Percentage","0","Units",,,2.44988864142539,,
"CPALTT01","Consumer prices: all items","AUS","Australia","GY","Growth on the same period of the previous year","A","Annual","2014","2014","PC","Percentage","0","Units",,,2.487922705314,,
"CPALTT01","Consumer prices: all items","AUS","Australia","GY","Growth on the same period of the previous year","A","Annual","2015","2015","PC","Percentage","0","Units",,,1.5083667216592,,
"CPALTT01","Consumer prices: all items","AUS","Australia","GY","Growth on the same period of the previous year","A","Annual","2016","2016","PC","Percentage","0","Units",,,1.27699094497329,,
"CPALTT01","Consumer prices: all items","AUS","Australia","GY","Growth on the same period of the previous year","A","Annual","2017","2017","PC","Percentage","0","Units",,,1.94864740944519,,
"CPALTT01","Consumer prices: all items","AUS","Australia","GY","Growth on the same period of the previous year","A","Annual","2018","2018","PC","Percentage","0","Units",,,1.91140094445696,,
"CPALTT01","Consumer prices: all items","AUS","Australia","GY","Growth on the same period of the previous year","A","Annual","2019","2019","PC","Percentage","0","Units",,,1.61076787290378,,
"CPALTT01","Consumer prices: all items","AUS","Australia","GY","Growth on the same period of the previous year","A","Annual","2020","2020","PC","Percentage","0","Units",,,0.846905537459296,,
"CPALTT01","Consumer prices: all items","AUS","Australia","GY","Growth on the same period of the previous year","A","Annual","2021","2021","PC","Percentage","0","Units",,,2.86391042204996,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GY","Growth on the same period of the previous year","A","Annual","1993","1993","PC","Percentage","0","Units",,,3.63178554402613,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GY","Growth on the same period of the previous year","A","Annual","1994","1994","PC","Percentage","0","Units",,,2.95340652383276,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GY","Growth on the same period of the previous year","A","Annual","1995","1995","PC","Percentage","0","Units",,,2.2433637541205,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GY","Growth on the same period of the previous year","A","Annual","1996","1996","PC","Percentage","0","Units",,,1.86097410872888,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GY","Growth on the same period of the previous year","A","Annual","1997","1997","PC","Percentage","0","Units",,,1.3059833037407,,
