season,year,month,holiday,weekday,temp,count
2,0,6,0,3,27.915849,3974
2,0,6,0,4,25.605,4968
2,0,6,0,5,21.14,5312
2,0,6,0,6,21.845,5342
2,0,6,0,0,22.471651,4906
2,0,6,0,1,23.881651,4548
2,0,6,0,2,25.2525,4833
2,0,6,0,3,28.464151,4401
2,0,6,0,4,29.991651,3915
2,0,6,0,5,27.485,4586
2,0,6,0,6,26.075,4966
2,0,6,0,0,24.5475,4460
2,0,6,0,1,21.845,5020
2,0,6,0,2,20.395849,4891
2,0,6,0,3,21.453349,5180
2,0,6,0,4,21.531651,3767
2,0,6,0,5,22.510849,4844
2,0,6,0,6,24.743349,5119
2,0,6,0,0,24.860849,4744
2,0,6,0,1,21.845,4010
3,0,6,0,2,23.999151,4835
3,0,6,0,3,26.466651,4507
3,0,6,0,4,26.231651,4790
3,0,6,0,5,26.035849,4991
3,0,6,0,6,24.665,5202
3,0,6,0,0,23.96,5305
3,0,6,0,1,24.0775,4708
3,0,6,0,2,26.975849,4648
3,0,6,0,3,26.231651,5225
3,0,6,0,4,24.743349,5515
3,0,7,0,5,25.9575,5362
3,0,7,0,6,26.701651,5119
3,0,7,0,0,25.683349,4649
3,0,7,1,1,26.153349,6043
3,0,7,0,2,27.093349,4665
3,0,7,0,3,25.84,4629
3,0,7,0,4,27.25,4592
3,0,7,0,5,25.330849,4040
3,0,7,0,6,26.466651,5336
3,0,7,0,0,27.1325,4881
3,0,7,0,1,27.8375,4086
3,0,7,0,2,29.325849,4258
3,0,7,0,3,27.093349,4342
3,0,7,0,4,23.999151,5084
3,0,7,0,5,23.176651,5538
3,0,7,0,6,24.273349,5923
3,0,7,0,0,25.800849,5302
3,0,7,0,1,27.093349,4458
3,0,7,0,2,28.503349,4541
3,0,7,0,3,28.111651,4332
3,0,7,0,4,30.305,3784
3,0,7,0,5,31.871651,3387
3,0,7,0,6,31.910849,3285
3,0,7,0,0,31.01,3606
3,0,7,0,1,26.936651,3840
3,0,7,0,2,28.268349,4590
3,0,7,0,3,28.425,4656
3,0,7,0,4,28.620849,4390
3,0,7,0,5,31.401651,3846
3,0,7,0,6,29.795849,4475
3,0,7,0,0,29.874151,4302
3,0,9,0,4,22.785,5115
3,0,9,0,5,22.236651,4727
3,0,9,0,6,23.450849,4484
3,0,9,0,0,25.330849,4940
3,0,9,1,1,23.646651,3351
3,0,9,0,2,17.38,2710
3,0,9,0,3,20.160849,1996
3,0,9,0,4,21.793911,1842
3,0,9,0,5,22.55,3544
3,0,9,0,6,23.02,5345
3,0,9,0,0,22.706651,5046
3,0,9,0,1,22.284356,4713
3,0,9,0,2,22.589151,4763
3,0,9,0,3,23.646651,4785
3,0,9,0,4,19.1425,3659
3,0,9,0,5,14.050849,4760
3,0,9,0,6,15.108349,4511
3,0,9,0,0,15.8525,4274
3,0,9,0,1,17.810849,4539
3,0,9,0,2,18.398349,3641
